input_v,amp1_peak,amp2_peak,amp3_peak,amp4_peak,input_b_mT
1.0,1200607.826949798,566395.0114351358,854093.9464182603,732129.5282291437,0.06772838127343263
1.1706337816171068,1201807.1113240926,718449.5742319323,584469.8317219161,826941.8815527176,0.07929880078918491
1.370383450663168,1069228.8867310747,796730.4320782992,1239383.7575528745,995105.3790734,0.09284352474180639
1.6042171611153244,954885.9828176806,878320.0280766453,1333552.2332131348,1146318.871266964,0.10869943616342348
1.8779508018514914,1458116.1650201452,1074162.1802800195,1160259.803352017,1334167.272931169,0.12726090171189694
2.1983926488622894,1317981.1790420432,1278930.9603940877,1312044.354291855,1569911.8397118982,0.14898958031926207
2.5735127000169107,1434369.0020050409,1451748.1804909674,2065025.7744876617,1821937.357793274,0.1744259055269447
3.0126409040604467,2783279.5322184046,1706608.6134886395,2226523.2674133014,2143461.8832718255,0.20420252709525671
3.52669921417466,1868846.5771980546,1976098.1436137944,2777784.3985314295,2515380.8380997647,0.23906004620555132
4.128473237715361,2464224.1233545737,2358860.143172671,3021590.2260680236,2939584.928452532,0.27986543561942606
4.832930238571754,3752319.886421369,2732615.631819106,3481787.0426135063,3401226.5888814675,0.3276336029393489
5.657591401470918,3464605.1722251195,3240595.7223725324,4081192.6060571764,4017859.889007532,0.3835526332899889
6.622967617148329,3904899.8042626935,3791803.1307499777,4292752.87673863,4703500.137510911,0.4490133392537204
7.753069627189986,4838867.944989648,4370041.26784228,5730539.23871302,5488215.904234125,0.5256438530233688
9.076005216818146,5522953.256404609,5155201.942021555,6588546.174983269,6475893.9856976215,0.615350121144794
10.624678308940414,6295109.1056975825,6003885.892081501,7630042.350486374,7586410.199010869,0.7203633090305362
12.437607347260164,7892935.627616173,7037224.684363538,9575321.534638273,8888455.19907266,0.8432952942848904
14.559883323191878,8832292.42705294,8322434.892939873,10574772.68298388,10425261.132170675,0.9872036290648935
17.044291274531954,10369372.879778886,9715429.50373031,12897658.49225146,12210472.187328039,1.155667587214629
19.952623149688797,12094980.59058793,11317106.532727638,14858500.111390457,14270149.502168996,1.3528771876096397
