2121269248,2147483648,2147483648,2129657856,2129657856,2147483648,2145386496,2127560704,2136473600,2137522176,2456135048
2122317824,2151677952,2150629376,2133852160,2129657856,2147483648,2145386496,2127560704,2139619328,2137522176,2456151048
2136997888,2154823680,2152726528,2129657856,2129657856,2147483648,2145386496,2127560704,2143551488,2137522176,2456167048
2122317824,2144337920,2151677952,2124414976,2130706432,2146435072,2145386496,2126512128,2135687168,2137260032,2456183047
2122317824,2149580800,2141192192,2132803584,2130706432,2146435072,2144337920,2126512128,2136473600,2136997888,2456199071
2143289344,2139095040,2140143616,2119172096,2129657856,2147483648,2145386496,2127560704,2135425024,2137522176,2456215068
2133852160,2152726528,2150629376,2127560704,2130706432,2147483648,2145386496,2127560704,2141192192,2137784320,2456231070
2134900736,2151677952,2149580800,2127560704,2129657856,2148532224,2145386496,2127560704,2140930048,2137784320,2456247070
2122317824,2155872256,2155872256,2136997888,2129657856,2147483648,2144337920,2127560704,2142765056,2137260032,2456263091
2123366400,2148532224,2142240768,2134900736,2128609280,2148532224,2145386496,2128609280,2137260032,2137784320,2456279091
2124414976,2148532224,2147483648,2132803584,2130706432,2147483648,2145386496,2127560704,2138308608,2137784320,2456295091
2127560704,2157969408,2157969408,2133852160,2129657856,2147483648,2145386496,2127560704,2144337920,2137522176,2456311091
2134900736,2140143616,2139095040,2119172096,2129657856,2146435072,2143289344,2126512128,2133327872,2136473600,2456327112
2121269248,2147483648,2149580800,2130706432,2128609280,2146435072,2144337920,2125463552,2137260032,2136211456,2456343111
2126512128,2154823680,2156920832,2134900736,2129657856,2147483648,2145386496,2126512128,2143289344,2137260032,2456360001
2123366400,2147483648,2139095040,2130706432,2130706432,2148532224,2145386496,2128609280,2135162880,2138308608,2456376001
2123366400,2146435072,2150629376,2129657856,2130706432,2147483648,2146435072,2127560704,2137522176,2138046464,2456392001
2131755008,2146435072,2151677952,2124414976,2130706432,2147483648,2146435072,2127560704,2138570752,2138046464,2456408000
2130706432,2159017984,2159017984,2136997888,2129657856,2147483648,2145386496,2127560704,2146435072,2137522176,2456424027
2121269248,2153775104,2150629376,2136997888,2129657856,2146435072,2144337920,2126512128,2140667904,2136735744,2456440026
2135949312,2138046464,2138046464,2119172096,2129657856,2147483648,2144337920,2126512128,2132803584,2136997888,2456456026
2129657856,2160066560,2153775104,2132803584,2130706432,2148532224,2145386496,2128609280,2144075776,2138308608,2456472026
2129657856,2140143616,2138046464,2123366400,2129657856,2148532224,2146435072,2128609280,2132803584,2138308608,2456488047
2121269248,2150629376,2151677952,2135949312,2130706432,2147483648,2145386496,2127560704,2139881472,2137784320,2456504047
2126512128,2157969408,2156920832,2136997888,2130706432,2147483648,2145386496,2126512128,2144600064,2137522176,2456520048
2125463552,2155872256,2159017984,2139095040,2129657856,2147483648,2144337920,2126512128,2144862208,2136997888,2456536047
2125463552,2154823680,2157969408,2135949312,2129657856,2146435072,2145386496,2126512128,2143551488,2136997888,2456552068
2138046464,2146435072,2138046464,2120220672,2130706432,2146435072,2145386496,2126512128,2135687168,2137260032,2456568069
2122317824,2160066560,2160066560,2138046464,2129657856,2148532224,2145386496,2128609280,2145124352,2138046464,2456584070
2129657856,2140143616,2140143616,2121269248,2130706432,2149580800,2145386496,2128609280,2132803584,2138570752,2456600069
2120220672,2164260864,2153775104,2135949312,2128609280,2148532224,2145386496,2128609280,2143551488,2137784320,2456616090
2121269248,2148532224,2147483648,2134900736,2129657856,2147483648,2145386496,2126512128,2138046464,2137260032,2456632092
2142240768,2141192192,2138046464,2120220672,2129657856,2146435072,2144337920,2126512128,2135425024,2136735744,2456648091
2132803584,2140143616,2139095040,2121269248,2130706432,2147483648,2144337920,2126512128,2133327872,2137260032,2456664089
2124414976,2147483648,2144337920,2129657856,2130706432,2147483648,2145386496,2127560704,2136473600,2137784320,2456680112
2136997888,2150629376,2144337920,2122317824,2130706432,2147483648,2145386496,2127560704,2138570752,2137784320,2456697001
2122317824,2155872256,2151677952,2141192192,2129657856,2146435072,2145386496,2127560704,2142765056,2137260032,2456713001
2129657856,2140143616,2139095040,2119172096,2128609280,2147483648,2144337920,2126512128,2132017152,2136735744,2456729001
2140143616,2140143616,2138046464,2120220672,2129657856,2147483648,2144337920,2125463552,2134638592,2136735744,2456745001
2140143616,2157969408,2142240768,2127560704,2129657856,2148532224,2145386496,2127560704,2141978624,2137784320,2456761027
2122317824,2160066560,2151677952,2141192192,2130706432,2147483648,2145386496,2127560704,2143813632,2137784320,2456777028
2127560704,2143289344,2144337920,2125463552,2130706432,2148532224,2146435072,2127560704,2135162880,2138308608,2456793027
2142240768,2142240768,2141192192,2122317824,2129657856,2148532224,2145386496,2127560704,2136997888,2137784320,2456809027
2141192192,2145386496,2139095040,2120220672,2130706432,2147483648,2144337920,2126512128,2136473600,2137260032,2456825049
2133852160,2138046464,2135949312,2120220672,2129657856,2146435072,2143289344,2126512128,2132017152,2136473600,2456841049
2132803584,2146435072,2148532224,2120220672,2129657856,2147483648,2144337920,2127560704,2136997888,2137260032,2456857047
2130706432,2152726528,2150629376,2125463552,2130706432,2147483648,2144337920,2126512128,2139881472,2137260032,2456873050
2123366400,2145386496,2138046464,2128609280,2130706432,2148532224,2146435072,2128609280,2133852160,2138570752,2456889070
2131755008,2154823680,2148532224,2134900736,2130706432,2146435072,2145386496,2126512128,2142502912,2137260032,2456905070
2145386496,2143289344,2146435072,2118123520,2130706432,2147483648,2143289344,2126512128,2138308608,2136997888,2456921068
2124414976,2142240768,2140143616,2122317824,2129657856,2147483648,2144337920,2126512128,2132279296,2136997888,2456937071
2122317824,2147483648,2145386496,2130706432,2129657856,2147483648,2145386496,2126512128,2136473600,2137260032,2456953089
2125463552,2141192192,2147483648,2121269248,2129657856,2148532224,2145386496,2127560704,2133852160,2137784320,2456969092
2129657856,2143289344,2139095040,2124414976,2130706432,2148532224,2147483648,2127560704,2134114304,2138570752,2456985089
2125463552,2148532224,2151677952,2130706432,2130706432,2147483648,2145386496,2127560704,2139095040,2137784320,2457001091
2136997888,2142240768,2146435072,2121269248,2130706432,2146435072,2144337920,2126512128,2136735744,2136997888,2457017112
2129657856,2153775104,2152726528,2129657856,2128609280,2147483648,2144337920,2126512128,2141454336,2136735744,2457033114
2135949312,2138046464,2135949312,2122317824,2128609280,2147483648,2145386496,2126512128,2133065728,2136997888,2457050000
2143289344,2139095040,2138046464,2117074944,2129657856,2147483648,2144337920,2127560704,2134376448,2137260032,2457066001
2123366400,2147483648,2141192192,2124414976,2129657856,2148532224,2145386496,2127560704,2134114304,2137784320,2457082001
2124414976,2160066560,2156920832,2138046464,2129657856,2148532224,2146435072,2128609280,2144862208,2138308608,2457098026
2125463552,2144337920,2140143616,2127560704,2130706432,2148532224,2145386496,2127560704,2134376448,2138046464,2457114024
2123366400,2161115136,2156920832,2141192192,2128609280,2147483648,2144337920,2126512128,2145648640,2136735744,2457130026
2134900736,2151677952,2146435072,2129657856,2128609280,2147483648,2145386496,2126512128,2140667904,2136997888,2457146025
2139095040,2145386496,2138046464,2120220672,2129657856,2146435072,2145386496,2126512128,2135687168,2136997888,2457162048
