freq_hz,fs_est_hz,noise_band_lo_hz,noise_band_hi_hz,amp1_peak,noise1_rms_band,snr1_db,amp2_peak,noise2_rms_band,snr2_db,amp3_peak,noise3_rms_band,snr3_db,amp4_peak,noise4_rms_band,snr4_db
1.0,62.49999999999301,0.5,1.5,11681340.90106055,1031152.8510851944,18.073093071033917,11655516.940376438,108074.03096669215,37.6459038383663,14747835.11746708,781590.998743053,22.504674530287087,14679245.731074085,113654.45512116826,39.21204557169149
1.1993539462092342,62.49609399412824,0.6993539462092342,1.6993539462092342,11499730.488855941,1075483.7776596106,17.57137600812129,11568250.7407325,160445.0289135579,34.148528593339634,14524409.155444399,773635.2851108672,22.460944145301482,14611238.371421658,153090.387141668,36.58448213706848
1.4384498882876628,62.49609399412824,0.9384498882876628,1.9384498882876628,11175571.740867758,933004.2821313774,18.55742231992686,11532132.337860908,170889.64726471572,33.573577326904775,14430993.204082966,671821.2515713116,23.630549733463443,14544956.764625253,194500.23474995687,34.46554613937859
1.7252105499420405,62.49609399412824,1.2252105499420405,2.2252105499420405,11777511.272781372,845160.4251289297,19.87198755728326,11464684.709896792,192085.0290015136,32.507072007167935,14387366.063090032,744033.875565792,22.717471731563364,14457003.017613474,210120.73784536612,33.74188713334468
2.0691380811147897,62.49999999999994,1.5691380811147897,2.5691380811147897,12093170.830047475,1159676.9226130391,17.353763502798458,11428211.9254729,198077.2606739251,32.21257332535309,14515442.123525763,677170.7047941672,23.61234217786008,14366269.111702723,235088.77582804437,32.71194210274591
2.481628922836826,62.49999999999994,1.9816289228368258,2.981628922836826,11460295.367674476,1001452.457811322,18.161009526336972,11413128.485574095,212969.8462229801,31.571431826225016,14208137.400228908,714540.5840048428,22.959904997637647,14318334.518618897,253964.40461784965,32.01209312281665
2.976351441631318,62.49999999999994,2.476351441631318,3.476351441631318,11530510.286993,1089572.9035755978,17.48154470903625,11260454.246893156,230335.21820183564,30.773611318300684,14512578.326274488,757848.8271425521,22.632939920737908,14304864.127638582,252568.98823731957,32.05177429494212
3.5696988468260646,62.49609399412824,3.0696988468260646,4.069698846826064,11286781.80771945,1364137.0368264425,15.34394262634924,11248970.709509293,290748.5777793844,28.74160378192826,14402102.254019132,678833.9539915767,23.522946708982055,14161407.647382392,356505.269545653,28.97050946105505
4.281332398719393,62.49609399412563,3.7813323987193934,4.781332398719393,12193714.482811965,844494.1467089215,20.180487602984716,11135278.867194207,380852.2065425814,26.30859247706261,13296641.790817343,1029856.3755896599,19.20900618630104,13986191.679127008,451075.8804625546,26.818697451336323
5.134832907437552,62.49804693603379,4.634832907437552,5.634832907437552,11062849.196933206,582716.4496871945,22.557894328425085,10964663.892278727,427868.281377179,25.163404659516754,14055726.306734417,845666.4737288576,21.40278361464177,13821944.82906209,498637.66900252824,25.845381472387047
6.158482110660264,62.49609399412563,5.658482110660264,6.658482110660264,9807827.110350706,735008.0949886884,19.49531363176418,10863733.31968353,449718.5842752578,24.650465269076072,14040373.556176484,848138.2572422372,21.36794022764318,13683054.676004117,578687.9952255117,24.464471828535572
7.3861998220793605,62.4960939941265,6.8861998220793605,7.8861998220793605,11446498.095154073,583662.2724702406,22.83992041573031,10587731.021732194,506312.61034624424,23.397383152884164,13426661.4094604,734306.0363566951,22.231518818907404,13355980.794452392,693986.1434425743,22.676199777962935
8.858667904100825,62.49999999999994,8.358667904100825,9.358667904100825,9894487.711962253,427610.36080756347,24.276601924591006,10566531.669410981,499182.96112745133,23.503154165180952,14028082.483139656,641335.892743156,23.787955336594393,13240964.055711199,687217.8098801962,22.686204053514103
10.624678308940409,62.49999999999994,10.124678308940409,11.124678308940409,10183059.648588955,109653.06314343507,36.346850434774886,10067264.683384584,544208.392957553,22.332625077064687,12685603.988438541,811479.9878808544,20.87036675703704,12718795.960690044,642575.970238305,22.9201304359075
12.742749857031335,62.49609399412563,12.242749857031335,13.242749857031335,11309626.484777696,,,9650773.812960954,,,12364774.513721377,,,12238453.899863664,,
15.283067326587688,62.49609399412563,14.783067326587688,15.783067326587688,9567792.076369599,,,9184180.949567577,,,12477269.57947229,,,11532711.138753196,,
18.329807108324356,62.49999999999994,17.829807108324356,18.829807108324356,13067579.852085086,,,8433191.772844888,,,11603887.484560827,,,10843739.756229844,,
21.983926488622892,62.49999999999994,21.483926488622892,22.483926488622892,7538575.141185884,,,7825080.325746215,,,12686165.243085159,,,9901733.825131591,,
26.366508987303583,62.49999999999994,25.866508987303583,26.866508987303583,9737285.836149238,,,6565307.389290423,,,10697063.561870098,,,8395116.269980287,,
31.622776601683793,62.49999999999994,31.122776601683793,31.24999999999997,3774660.488238127,,,8551771.072636886,,,2892430.8507053033,,,10604585.129741749,,
