freq_hz,amp1_peak,amp2_peak,amp3_peak,amp4_peak
1.0,11681340.90106055,11655516.940376438,14747835.11746708,14679245.731074085
1.1993539462092342,11499730.488855941,11568250.7407325,14524409.155444399,14611238.371421658
1.4384498882876628,11175571.740867758,11532132.337860908,14430993.204082966,14544956.764625253
1.7252105499420405,11777511.272781372,11464684.709896792,14387366.063090032,14457003.017613474
2.0691380811147897,12093170.830047475,11428211.9254729,14515442.123525763,14366269.111702723
2.481628922836826,11460295.367674476,11413128.485574095,14208137.400228908,14318334.518618897
2.976351441631318,11530510.286993,11260454.246893156,14512578.326274488,14304864.127638582
3.5696988468260646,11286781.80771945,11248970.709509293,14402102.254019132,14161407.647382392
4.281332398719393,12193714.482811965,11135278.867194207,13296641.790817343,13986191.679127008
5.134832907437552,11062849.196933206,10964663.892278727,14055726.306734417,13821944.82906209
6.158482110660264,9807827.110350706,10863733.31968353,14040373.556176484,13683054.676004117
7.3861998220793605,11446498.095154073,10587731.021732194,13426661.4094604,13355980.794452392
8.858667904100825,9894487.711962253,10566531.669410981,14028082.483139656,13240964.055711199
10.624678308940409,10183059.648588955,10067264.683384584,12685603.988438541,12718795.960690044
12.742749857031335,11309626.484777696,9650773.812960954,12364774.513721377,12238453.899863664
15.283067326587688,9567792.076369599,9184180.949567577,12477269.57947229,11532711.138753196
18.329807108324356,13067579.852085086,8433191.772844888,11603887.484560827,10843739.756229844
21.983926488622892,7538575.141185884,7825080.325746215,12686165.243085159,9901733.825131591
26.366508987303583,9737285.836149238,6565307.389290423,10697063.561870098,8395116.269980287
31.622776601683793,3774660.488238127,8551771.072636886,2892430.8507053033,10604585.129741749
