frequency_hz,ensemble_average_psd_v2_per_hz
1.850016351086775979e+00,9.312088953222617832e-11
1.853349713881526917e+00,7.183573725080685718e-11
1.856683076676277855e+00,3.147067357324570590e-11
1.860016439471028793e+00,5.791728777230739242e-11
1.863349802265779731e+00,2.292390589302830542e-10
1.866683165060530669e+00,2.553687871680588767e-10
1.870016527855281607e+00,2.452129388668666723e-10
1.873349890650032545e+00,4.256989508132989860e-10
1.876683253444783483e+00,3.327960352764384834e-10
1.880016616239534422e+00,6.723506764622103633e-12
1.883349979034285360e+00,5.477313446255267928e-12
1.886683341829036298e+00,3.199154081656119799e-11
1.890016704623787236e+00,3.056145520205043947e-10
1.893350067418538174e+00,9.998779796533329086e-11
1.896683430213289112e+00,1.439603820914498966e-10
1.900016793008040050e+00,5.674820660551005346e-11
1.903350155802791210e+00,2.483850679440188759e-10
1.906683518597542148e+00,1.652610913293034933e-10
1.910016881392293087e+00,1.452511970611753785e-11
1.913350244187044025e+00,6.483428948972518421e-11
1.916683606981794963e+00,1.537874740987622845e-10
